Suite,Benchmark,Old,New,Unit
Core API,CreateIndexUnique.createIndex_(index:SCHEMA)_(threads:1)_(type:small_string),17.53,8.77,s/op
Core API,CreateIndexNonUnique.createIndex_(index:SCHEMA)_(threads:1)_(type:long),15.45,7.84,s/op
Core API,CreateNodeKey.createIndex_(keys:8)_(threads:1)_(type:small_string),14.86,8.05,s/op
Core API,CreateTx.createTxTakeReadLock_(threads:1)_(txMemory:on_heap),1690.67,917.84,ns/op
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:100)_(type:small_string),2.5,4.38,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:1)_(type:long),10.72,18.31,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:4)_(format:standard)_(index:SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:1)_(type:small_string),11.09,18.74,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:4)_(format:standard)_(index:SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:1)_(type:small_string),11.09,18.74,op/ms
Core API,CreateIndexNonUnique.createIndex_(index:SCHEMA)_(threads:1)_(type:small_string),15.24,9.05,s/op
Core API,CreateTx.createTxTakeWriteLock_(threads:1)_(txMemory:on_heap),1519.46,908.44,ns/op
Core API,ReadAll.allRelationships_(format:standard)_(threads:1)_(txMemory:on_heap),536.52,335.26,ms/op
Core API,CreateDeleteLabels.createDeleteLabel_(count:4)_(format:standard)_(threads:1)_(txMemory:on_heap)_(txSize:100),138.96,222.16,op/ms
Core API,CreateDeleteLabels.createDeleteLabel_(count:4)_(format:standard)_(threads:1)_(txMemory:on_heap)_(txSize:100),138.96,222.16,op/ms
Core API,CreateNodeWithMandatoryProperties.createNode_(threads:1)_(txSize:100)_(type:long),124.17,198,op/ms
Core API,CreateUniqueNodeProperties.setProperty_(format:standard)_(index:SCHEMA)_(threads:1)_(txSize:100)_(type:long),116.18,184.75,op/ms
Core API,CreateUniqueNodeProperties.setProperty_(format:standard)_(index:NONE)_(threads:1)_(txSize:100)_(type:long),145.96,231.81,op/ms
Core API,CreateUniqueNodeProperties.setProperty_(format:standard)_(index:SCHEMA)_(threads:1)_(txSize:100)_(type:date_time),108.85,171.25,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:4)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:100)_(type:small_string),50.37,78.64,op/ms
